path,size,modified_at,git_status,category,ownership_class,referenced_by,runtime_relevance,confidence,recommended_action,reason,snapshot_status,snapshot_reason,restoration_required
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/network/NetworkUtils.js,10370,2026-08-27T19:56:24,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/network/NetworkUtils.js.map,8020,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/permissions/PermissionsProcessor.d.ts,973,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/permissions/PermissionsProcessor.js,1926,2026-08-27T19:56:24,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/permissions/PermissionsProcessor.js.map,1031,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ChannelProxy.d.ts,1375,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ChannelProxy.js,10110,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ChannelProxy.js.map,5439,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScript.d.ts,1826,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScript.js,4860,2026-08-27T19:56:24,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScript.js.map,2734,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScriptStorage.d.ts,920,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScriptStorage.js,2733,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/PreloadScriptStorage.js.map,1947,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/Realm.d.ts,3951,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/Realm.js,21295,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/Realm.js.map,14682,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/RealmStorage.d.ts,1867,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/RealmStorage.js,3164,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/RealmStorage.js.map,2804,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ScriptProcessor.d.ts,1909,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ScriptProcessor.js,5572,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/ScriptProcessor.js.map,4608,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/SharedId.d.ts,258,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/SharedId.js,2274,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/SharedId.js.map,1628,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WindowRealm.d.ts,2731,2026-08-27T19:56:35,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WindowRealm.js,6673,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WindowRealm.js.map,4566,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WorkerRealm.d.ts,1751,2026-08-27T19:56:35,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WorkerRealm.js,2427,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/script/WorkerRealm.js.map,1596,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/EventManager.d.ts,2919,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/EventManager.js,11497,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/EventManager.js.map,8561,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/events.d.ts,1065,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/events.js,1280,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/events.js.map,626,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SessionProcessor.d.ts,1466,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SessionProcessor.js,5433,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SessionProcessor.js.map,3262,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SubscriptionManager.d.ts,3014,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SubscriptionManager.js,10141,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/session/SubscriptionManager.js.map,7490,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/speculation/SpeculationProcessor.d.ts,996,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/speculation/SpeculationProcessor.js,2305,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/speculation/SpeculationProcessor.js.map,1153,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/storage/StorageProcessor.d.ts,772,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/storage/StorageProcessor.js,8642,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/storage/StorageProcessor.js.map,6253,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/webExtension/WebExtensionProcessor.d.ts,1117,2026-08-27T19:56:35,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/webExtension/WebExtensionProcessor.js,2283,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/modules/webExtension/WebExtensionProcessor.js.map,1342,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/OutgoingMessage.d.ts,1235,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/OutgoingMessage.js,1563,2026-08-27T19:56:24,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiMapper/OutgoingMessage.js.map,936,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/BrowserInstance.d.ts,951,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/BrowserInstance.js,4467,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/BrowserInstance.js.map,2431,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/index.d.ts,799,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/index.js,1785,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/index.js.map,1153,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/MapperCdpConnection.d.ts,1041,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/MapperCdpConnection.js,5476,2026-08-27T19:56:23,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/MapperCdpConnection.js.map,4216,2026-08-27T19:56:26,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/PipeTransport.d.ts,335,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/PipeTransport.js,2662,2026-08-27T19:56:24,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/PipeTransport.js.map,2105,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/reader.d.ts,699,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/reader.js,953,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/reader.js.map,495,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/SimpleTransport.d.ts,519,2026-08-27T19:56:32,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/SimpleTransport.js,1259,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/SimpleTransport.js.map,463,2026-08-27T19:56:30,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/WebSocketServer.d.ts,179,2026-08-27T19:56:35,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/WebSocketServer.js,16618,2026-08-27T19:56:25,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiServer/WebSocketServer.js.map,11957,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiTab/BidiParser.d.ts,7296,2026-08-27T19:56:31,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
frontend/node_modules/@lhci/utils/node_modules/chromium-bidi/lib/esm/bidiTab/BidiParser.js,9647,2026-08-27T19:56:22,ignored,DEPENDENCY_VENDOR,DEPENDENCY_VENDOR,N/A — dependency/vendor/cache,dependency vendor,high,KEEP,Installed third-party dependency; not owned SupplyDesk code.,COPIED,physical baseline copy,NO
